2022-04-20 10:54:00.802 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a6865517', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '3793', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:54:00.803 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":null}
2022-04-20 10:54:00.804 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.373356
2022-04-20 10:54:00.805 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：0
2022-04-20 10:54:00.806 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 10:54:00.807 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 10:54:01.327 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a6865517', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '3793', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:54:01.327 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":10001007,"msg":"手机号只能注册一次","data":null}
2022-04-20 10:54:01.327 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.153415
2022-04-20 10:54:01.327 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：10001007
2022-04-20 10:54:01.327 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 10:54:01.327 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 10:54:01.807 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a6865517', 'phone': '136', 'schemeId': '1003', 'verifyCode': '3793', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:54:01.807 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":10001018,"msg":"请检查手机号码","data":null}
2022-04-20 10:54:01.808 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.121206
2022-04-20 10:54:01.808 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：10001018
2022-04-20 10:54:01.808 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 10:54:01.808 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 10:54:02.235 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': '1', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '3793', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:54:02.236 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"password：密码长度需大于等于8位，并由2项不同类型组成：如数字、大写字母、小写字母、特殊符号","data":null}
2022-04-20 10:54:02.236 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.087763
2022-04-20 10:54:02.237 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 10:54:02.237 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 10:54:02.238 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 10:54:02.710 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': '123456789', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '3793', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:54:02.711 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"password：密码长度需大于等于8位，并由2项不同类型组成：如数字、大写字母、小写字母、特殊符号","data":null}
2022-04-20 10:54:02.711 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.087428
2022-04-20 10:54:02.712 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 10:54:02.712 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 10:54:02.713 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 10:54:03.155 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'invitationCode': '', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a123456789', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '3793', 'inchargeArea': '', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:54:03.156 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"invitationCode：must not be blank","data":null}
2022-04-20 10:54:03.156 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.0826
2022-04-20 10:54:03.157 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：400
2022-04-20 10:54:03.157 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 10:54:03.157 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 10:54:03.686 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a6865517', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '3793', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:54:03.687 | DEBUG    | common.unittestMain:req_assert:77 - 本次执行的测试用例响应内容为：{"busiCode":10001007,"msg":"手机号只能注册一次","data":null}
2022-04-20 10:54:03.687 | INFO     | common.unittestMain:req_assert:80 - 接口响应时间为：0.183454
2022-04-20 10:54:03.687 | INFO     | common.unittestMain:req_assert:82 - busicode与预期一致为：10001007
2022-04-20 10:54:03.687 | INFO     | common.unittestMain:req_assert:84 - msg与预期一致
2022-04-20 10:54:03.687 | INFO     | common.unittestMain:assert_data:93 - 响应内容与预期一致
2022-04-20 10:54:04.987 | SUCCESS  | utils.mysql_res:update_sql:104 - --------------------------------------------------更新成功--------------------------------------------------
