2022-04-20 10:44:43.281 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a6865517', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '1171', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:44:43.282 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":0,"msg":"请求成功","data":null}
2022-04-20 10:44:43.282 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.295216
2022-04-20 10:44:43.282 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：0
2022-04-20 10:44:43.284 | INFO     | common.unittestMain:req_assert:83 - msg与预期一致
2022-04-20 10:44:43.284 | INFO     | common.unittestMain:assert_data:92 - 响应内容与预期一致
2022-04-20 10:44:43.843 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a6865517', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '1171', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:44:43.844 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":10001007,"msg":"手机号只能注册一次","data":null}
2022-04-20 10:44:43.844 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.159373
2022-04-20 10:44:43.845 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：10001007
2022-04-20 10:44:43.845 | INFO     | common.unittestMain:req_assert:83 - msg与预期一致
2022-04-20 10:44:43.846 | INFO     | common.unittestMain:assert_data:92 - 响应内容与预期一致
2022-04-20 10:44:44.306 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a6865517', 'phone': '136', 'schemeId': '1003', 'verifyCode': '1171', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:44:44.306 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":10001018,"msg":"请检查手机号码","data":null}
2022-04-20 10:44:44.306 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.094249
2022-04-20 10:44:44.306 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：10001018
2022-04-20 10:44:44.307 | INFO     | common.unittestMain:req_assert:83 - msg与预期一致
2022-04-20 10:44:44.307 | INFO     | common.unittestMain:assert_data:92 - 响应内容与预期一致
2022-04-20 10:44:44.826 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': '', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '1171', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:44:44.826 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"password：密码长度需大于等于8位，并由2项不同类型组成：如数字、大写字母、小写字母、特殊符号","data":null}
2022-04-20 10:44:44.827 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.121951
2022-04-20 10:44:44.828 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：400
2022-04-20 10:44:45.299 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'invitationCode': 'YGKJEK', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': '123456789', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '1171', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:44:45.300 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":400,"msg":"password：密码长度需大于等于8位，并由2项不同类型组成：如数字、大写字母、小写字母、特殊符号","data":null}
2022-04-20 10:44:45.301 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.107949
2022-04-20 10:44:45.301 | INFO     | common.unittestMain:req_assert:81 - busicode与预期一致为：400
2022-04-20 10:44:45.302 | INFO     | common.unittestMain:req_assert:83 - msg与预期一致
2022-04-20 10:44:45.302 | INFO     | common.unittestMain:assert_data:92 - 响应内容与预期一致
2022-04-20 10:44:45.868 | DEBUG    | common.unittestMain:req_assert:75 - 本次执行的测试用例请求内容为：{'invitationCode': '0', 'level': 2, 'name': '接口测试', 'parentId': '1427509025808363521', 'password': 'a123456789', 'phone': '13622221111', 'schemeId': '1003', 'verifyCode': '1171', 'inchargeArea': '[["110000","110100","110101"]]', 'inchargeAreaName': '北京市,市辖区,东城区'}
2022-04-20 10:44:45.869 | DEBUG    | common.unittestMain:req_assert:76 - 本次执行的测试用例响应内容为：{"busiCode":10001007,"msg":"手机号只能注册一次","data":null}
2022-04-20 10:44:45.869 | INFO     | common.unittestMain:req_assert:79 - 接口响应时间为：0.199934
2022-04-20 10:44:47.100 | SUCCESS  | utils.mysql_res:update_sql:104 - --------------------------------------------------更新成功--------------------------------------------------
